model_name_or_path core42/jais-13b
wandb_project nadi_sharedtask
wandb_run_name jais
use_flash_attention_2 False
checkpoint_path None
save_file None
dataset boda/nadi2024
prompt_key prompt
split train
chunk_size 100
output_dir /l/users/abdelrahman.sadallah/nadi
overwrite_output_dir False
do_train False
do_eval True
do_predict False
eval_strategy IntervalStrategy.STEPS
prediction_loss_only False
per_device_train_batch_size 4
per_device_eval_batch_size 4
per_gpu_train_batch_size None
per_gpu_eval_batch_size None
gradient_accumulation_steps 1
eval_accumulation_steps None
eval_delay 0
learning_rate 1e-06
weight_decay 0.01
adam_beta1 0.9
adam_beta2 0.999
adam_epsilon 1e-08
max_grad_norm 1.0
num_train_epochs 3.0
max_steps 100000
lr_scheduler_type SchedulerType.LINEAR
lr_scheduler_kwargs {}
warmup_ratio 0.07
warmup_steps 0
log_level passive
log_level_replica warning
log_on_each_node True
logging_dir /l/users/abdelrahman.sadallah/nadi/runs/May02_16-11-08_gpu-10
logging_strategy IntervalStrategy.STEPS
logging_first_step False
logging_steps 100
logging_nan_inf_filter True
save_strategy IntervalStrategy.STEPS
save_steps 500
save_total_limit 3
save_safetensors True
save_on_each_node False
save_only_model False
restore_callback_states_from_checkpoint False
no_cuda False
use_cpu False
use_mps_device False
seed 42
data_seed None
jit_mode_eval False
use_ipex False
bf16 False
fp16 False
fp16_opt_level O1
half_precision_backend auto
bf16_full_eval False
fp16_full_eval False
tf32 None
local_rank 0
ddp_backend None
tpu_num_cores None
tpu_metrics_debug False
debug []
dataloader_drop_last False
eval_steps 500
dataloader_num_workers 0
dataloader_prefetch_factor None
past_index -1
run_name /l/users/abdelrahman.sadallah/nadi
disable_tqdm False
remove_unused_columns True
label_names None
load_best_model_at_end True
metric_for_best_model loss
greater_is_better False
ignore_data_skip False
fsdp []
fsdp_min_num_params 0
fsdp_config {'min_num_params': 0, 'xla': False, 'xla_fsdp_v2': False, 'xla_fsdp_grad_ckpt': False}
fsdp_transformer_layer_cls_to_wrap None
accelerator_config AcceleratorConfig(split_batches=False, dispatch_batches=None, even_batches=True, use_seedable_sampler=True, non_blocking=False, gradient_accumulation_kwargs=None)
deepspeed None
label_smoothing_factor 0.0
optim OptimizerNames.ADAMW_TORCH
optim_args None
adafactor False
group_by_length False
length_column_name length
report_to ['tensorboard', 'wandb']
ddp_find_unused_parameters None
ddp_bucket_cap_mb None
ddp_broadcast_buffers None
dataloader_pin_memory True
dataloader_persistent_workers False
skip_memory_metrics True
use_legacy_prediction_loop False
push_to_hub False
resume_from_checkpoint None
hub_model_id None
hub_strategy HubStrategy.EVERY_SAVE
hub_token None
hub_private_repo False
hub_always_push False
gradient_checkpointing False
gradient_checkpointing_kwargs None
include_inputs_for_metrics False
eval_do_concat_batches True
fp16_backend auto
evaluation_strategy steps
push_to_hub_model_id None
push_to_hub_organization None
push_to_hub_token None
mp_parameters 
auto_find_batch_size False
full_determinism False
torchdynamo None
ray_scope last
ddp_timeout 1800
torch_compile False
torch_compile_backend None
torch_compile_mode None
dispatch_batches None
split_batches None
include_tokens_per_second False
include_num_input_tokens_seen False
neftune_noise_alpha None
optim_target_modules None
sortish_sampler False
predict_with_generate False
generation_max_length None
generation_num_beams None
generation_config None
distributed_state Distributed environment: NO
Num processes: 1
Process index: 0
Local process index: 0
Device: cuda

_n_gpu 1
__cached__setup_devices cuda:0
deepspeed_plugin None
Loading the datasets
{'loss': 3.4259, 'grad_norm': 0.18494687974452972, 'learning_rate': 1.42836737608913e-08, 'epoch': 0.01}
{'loss': 3.427, 'grad_norm': 0.21687588095664978, 'learning_rate': 2.85673475217826e-08, 'epoch': 0.02}
{'loss': 3.4517, 'grad_norm': 0.2482605129480362, 'learning_rate': 4.28510212826739e-08, 'epoch': 0.02}
{'loss': 3.415, 'grad_norm': 0.24842044711112976, 'learning_rate': 5.71346950435652e-08, 'epoch': 0.03}
{'loss': 3.404, 'grad_norm': 0.2404046505689621, 'learning_rate': 7.14183688044565e-08, 'epoch': 0.04}
{'eval_loss': 3.9386017322540283, 'eval_runtime': 66.5498, 'eval_samples_per_second': 6.011, 'eval_steps_per_second': 1.503, 'epoch': 0.04}
{'loss': 3.4304, 'grad_norm': 0.23139320313930511, 'learning_rate': 8.57020425653478e-08, 'epoch': 0.05}
